Site,Point,ReferenceMT,ReferenceMU,A_MT,A_MU,B_MT,B_MU,C_MT,C_MU,D_MT,D_MU,E_MT,E_MU,F_MT,F_MU,G_MT,G_MU,H_MT,H_MU,I_MT,I_MU,J_MT,J_MU,K_MT,K_MU
1,1,T4,C1,T4,C1,V2,C2,T4,C1,V2,C1,T4,C1,T4,C6,V1,C1,V2,C1,T4,C1,V2,C2,T4,C5
1,2,T4,C2,T4,C5,T4,C1,T4,C1,T4,C7,T4,C2,T4,C1,T4,C2,T4,C1,T4,C5,T4,C1,T4,C2
1,3,T44,C1,T32,C10,T45,C3,T4,C6,T45,C2,T4,C17,T30,C2,T32,C7,T36,C1,T4,C3,T44,C1,T45,C1
1,4,T4,C1,T4,C1,T4,C2,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C5
1,5,T4,C5,T4,C9,T4,C9,T4,C1,T1,C1,T2,C1,T4,C6,T2,C3,T4,C5,T4,C2,T2,C1,T4,C9
1,6,T2,C1,T2,C1,T2,C2,T2,C2,T4,C9,T2,C2,T2,C1,T2,C2,T2,C1,T2,C1,T2,C1,T2,C2
1,7,T2,C1,T2,C1,T4,C9,T4,C13,T2,C1,T2,C1,T4,C5,T4,C9,T4,C9,T2,C1,T4,C9,T4,C9
1,8,V2,C1,T4,C1,V2,C1,T4,C5,V2,C1,V2,C1,V2,C1,V2,C1,V1,C6,T4,C1,T4,C5,V2,C1
1,9,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1
1,10,T4,C5,T4,C5,T4,C5,T4,C5,T4,C9,T4,C5,T4,C1,T4,C5,T4,C9,T4,C5,T4,C5,T4,C9
1,11,T4,C1,T4,C1,T4,C1,V2,C1,T4,C1,V2,C1,T4,C5,T4,C5,T4,C1,T4,C1,T4,C1,T4,C1
1,12,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9,T4,C9,T4,C9,T4,C5,T4,C9,T4,C9,T4,C9,T4,C5
1,13,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
1,14,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
1,15,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
